No.,Date,Location,Winner,Score
185,"January 15, 2005","West Lafayette, IN",Indiana,75–73
186,"February 22, 2005","Bloomington, IN",Indiana,79–62
187,"January 21, 2006","Bloomington, IN",#13 Indiana,62–49
188,"March 1, 2006","West Lafayette, IN",Indiana,70–59
189,"January 10, 2007","Bloomington, IN",Indiana,85–58
190,"February 15, 2007","West Lafayette, IN",Purdue,81–68
191,"February 19, 2008","Bloomington, IN",#15 Indiana,77–68
192,"February 21, 2009","West Lafayette, IN",#19 Purdue,81–67
193,"February 4, 2010","Bloomington, IN",#8 Purdue,78–75
194,"March 3, 2010","West Lafayette, IN",#7 Purdue,74–55
195,"February 8, 2011","West Lafayette, IN",#14 Purdue,67–53
196,"February 23, 2011","Bloomington, IN",#8 Purdue,72–61
197,"February 4, 2012","West Lafayette, IN",#18 Indiana,78–61
198,"March 4, 2012","Bloomington, IN",Indiana,85–74
199,"January 30, 2013","West Lafayette, IN",#3 Indiana,97–60
200,"February 16, 2013","Bloomington, IN",#1 Indiana,83–55
201,"February 15, 2014","West Lafayette, IN",Purdue,82–64
202,"January 28, 2015","West Lafayette, IN",Purdue,83–67
203,"February 19, 2015","Bloomington, IN",Purdue,67–63
204,"February 20, 2016","Bloomington, IN",#22 Indiana,77–73
205,"February 9, 2017","Bloomington, IN",#16 Purdue,69–64
206,"February 28, 2017","West Lafayette, IN",#16 Purdue,86–75
207,"January 28, 2018","Bloomington, IN",#3 Purdue,74–67
208,"January 19, 2019","West Lafayette, IN",Purdue,70–55
209,"February 19, 2019","Bloomington, IN",#15 Purdue,48–46
210,"February 8, 2020","Bloomington, IN",Purdue,74–62
211,"February 27, 2020","West Lafayette, IN",Purdue,57–49
212,"January 14, 2021","Bloomington, IN",Purdue,81–69
213,"March 6, 2021","West Lafayette, IN",#23 Purdue,67–58
